date,team,opponent,elo_after,elo_change,score
2021-06-03,Afghanistan,Bangladesh,1131,-14,1 - 1
2021-06-11,Afghanistan,Oman,1127,-4,2 - 1
2021-06-15,Afghanistan,India,1131,4,1 - 1
2021-11-16,Afghanistan,Indonesia,1141,10,1 - 0
2022-06-01,Afghanistan,Vietnam,1137,-4,2 - 0
2022-06-08,Afghanistan,Hong Kong,1117,-20,2 - 1
2022-06-11,Afghanistan,India,1107,-10,2 - 1
2022-06-14,Afghanistan,Cambodia,1094,-13,2 - 2
2023-06-10,Afghanistan,Kyrgyzstan,1086,-8,1 - 0
2023-06-13,Afghanistan,Iran,1085,-1,6 - 1
2023-09-03,Afghanistan,Bangladesh,1083,-2,0 - 0
2023-09-07,Afghanistan,Bangladesh,1081,-2,1 - 1
2023-09-12,Afghanistan,Philippines,1072,-9,2 - 1
2023-10-12,Afghanistan,Mongolia,1079,7,1 - 0
2023-10-17,Afghanistan,Mongolia,1090,11,0 - 1
2023-11-16,Afghanistan,Qatar,1086,-4,8 - 1
2023-11-21,Afghanistan,Kuwait,1073,-13,4 - 0
2024-03-21,Afghanistan,India,1082,9,0 - 0
2024-03-26,Afghanistan,India,1114,32,1 - 2
2024-06-06,Afghanistan,Qatar,1132,18,0 - 0
2024-06-11,Afghanistan,Kuwait,1126,-6,1 - 0
2024-11-16,Afghanistan,Nepal,1090,-36,2 - 0
2024-11-19,Afghanistan,Tajikistan,1083,-7,3 - 1
2025-03-21,Afghanistan,Thailand,1080,-3,2 - 0
2025-03-25,Afghanistan,Myanmar,1056,-24,2 - 1
2025-06-10,Afghanistan,Syria,1052,-4,1 - 0
2025-09-01,Afghanistan,Tajikistan,1043,-9,2 - 0
2025-09-04,Afghanistan,India,1050,7,0 - 0
2025-10-09,Afghanistan,Pakistan,1042,-8,0 - 0
2025-10-14,Afghanistan,Pakistan,1033,-11,1 - 1
2026-03-26,Afghanistan,Myanmar,1016,-19,2 - 1
2026-03-31,Afghanistan,Syria,1011,-5,5 - 1
2026-06-01,Afghanistan,Maldives,1023,12,0 - 1
2026-06-07,Afghanistan,Pakistan,990,-33,2 - 0
2026-06-10,Afghanistan,Pakistan,961,-29,2 - 0
2021-06-05,Albania,Wales,1560,8,0 - 0
2021-06-08,Albania,Czech Republic,1556,-4,3 - 1
2021-09-02,Albania,Poland,1546,-10,4 - 1
2021-09-05,Albania,Hungary,1571,25,1 - 0
2021-09-08,Albania,San Marino,1572,1,5 - 0
2021-10-09,Albania,Hungary,1604,32,0 - 1
2021-10-12,Albania,Poland,1588,-16,0 - 1
2021-11-12,Albania,England,1585,-3,5 - 0
2021-11-15,Albania,Andorra,1586,1,1 - 0
2022-03-26,Albania,Spain,1585,-1,2 - 1
2022-03-29,Albania,Georgia,1582,-3,0 - 0
2022-06-06,Albania,Iceland,1586,4,1 - 1
2022-06-10,Albania,Israel,1562,-24,1 - 2
2022-06-13,Albania,Estonia,1556,-6,0 - 0
2022-09-24,Albania,Israel,1546,-10,2 - 1
2022-09-27,Albania,Iceland,1541,-5,1 - 1
2022-10-26,Albania,Saudi Arabia,1544,3,1 - 1
2022-11-09,Albania,Qatar,1538,-6,1 - 0
2022-11-16,Albania,Italy,1535,-3,1 - 3
2022-11-19,Albania,Armenia,1543,8,2 - 0
2023-03-27,Albania,Poland,1538,-5,1 - 0
2023-06-17,Albania,Moldova,1544,6,2 - 0
2023-06-20,Albania,Faroe Islands,1562,18,1 - 3
2023-09-07,Albania,Czech Republic,1577,15,1 - 1
2023-09-10,Albania,Poland,1614,37,2 - 0
2023-10-12,Albania,Czech Republic,1657,43,3 - 0
2023-10-17,Albania,Bulgaria,1661,4,2 - 0
2023-11-17,Albania,Moldova,1649,-12,1 - 1
2023-11-20,Albania,Faroe Islands,1631,-18,0 - 0
2024-03-22,Albania,Chile,1617,-14,3 - 0
2024-03-25,Albania,Sweden,1612,-5,1 - 0
2024-06-03,Albania,Liechtenstein,1613,1,3 - 0
2024-06-07,Albania,Azerbaijan,1623,10,3 - 1
2024-06-15,Albania,Italy,1616,-7,2 - 1
2024-06-19,Albania,Croatia,1634,18,2 - 2
2024-06-24,Albania,Spain,1630,-4,1 - 0
2024-09-07,Albania,Ukraine,1660,30,2 - 1
2024-09-10,Albania,Georgia,1638,-22,0 - 1
2024-10-11,Albania,Czech Republic,1623,-15,2 - 0
2024-10-14,Albania,Georgia,1654,31,0 - 1
2024-11-16,Albania,Czech Republic,1653,-1,0 - 0
2024-11-19,Albania,Ukraine,1635,-18,1 - 2
2025-03-21,Albania,England,1631,-4,2 - 0
2025-03-24,Albania,Andorra,1633,2,3 - 0
2025-06-07,Albania,Serbia,1639,6,0 - 0
2025-06-10,Albania,Latvia,1627,-12,1 - 1
2025-09-04,Albania,Gibraltar,1628,1,0 - 1
2025-09-09,Albania,Latvia,1631,3,1 - 0
2025-10-11,Albania,Serbia,1664,33,0 - 1
2025-10-14,Albania,Jordan,1673,9,4 - 2
2025-11-13,Albania,Andorra,1675,2,0 - 1
2025-11-16,Albania,England,1664,-11,0 - 2
2026-03-26,Albania,Poland,1653,-11,2 - 1
2026-03-31,Albania,Ukraine,1646,-7,1 - 0
2026-06-03,Albania,Israel,1633,-13,0 - 1
2026-06-06,Albania,Luxembourg,1616,-17,0 - 1
2021-06-03,Algeria,Mauritania,1744,2,4 - 1
2021-06-06,Algeria,Mali,1747,3,1 - 0
2021-06-11,Algeria,Tunisia,1762,15,0 - 2
2021-06-17,Algeria,Liberia,1764,2,5 - 1
2021-09-02,Algeria,Djibouti,1769,0,8 - 0
2021-09-07,Algeria,Burkina Faso,1758,-11,1 - 1
2021-10-08,Algeria,Niger,1760,2,6 - 1
2021-10-12,Algeria,Niger,1766,6,0 - 4
2021-11-12,Algeria,Djibouti,1766,0,4 - 0
2021-11-16,Algeria,Burkina Faso,1752,-14,2 - 2
2021-12-01,Algeria,Sudan,1759,7,4 - 0
2021-12-04,Algeria,Lebanon,1765,6,2 - 0
2021-12-07,Algeria,Egypt,1759,-6,1 - 1
2021-12-11,Algeria,Morocco,1759,0,2 - 2
2021-12-15,Algeria,Qatar,1781,22,1 - 2
2021-12-18,Algeria,Tunisia,1801,20,2 - 0
2022-01-05,Algeria,Ghana,1810,9,3 - 0
2022-01-11,Algeria,Sierra Leone,1788,-22,0 - 0
2022-01-16,Algeria,Equatorial Guinea,1743,-45,1 - 0
2022-01-20,Algeria,Côte d'Ivoire,1695,-48,3 - 1
2022-03-25,Algeria,Cameroon,1716,21,0 - 1
2022-03-29,Algeria,Cameroon,1685,-31,1 - 2
2022-06-04,Algeria,Uganda,1692,7,2 - 0
2022-06-08,Algeria,Tanzania,1702,10,0 - 2
2022-06-12,Algeria,Iran,1715,13,2 - 1
2022-09-23,Algeria,Guinea,1717,2,1 - 0
2022-09-27,Algeria,Nigeria,1722,5,2 - 1
2022-11-16,Algeria,Mali,1717,-5,1 - 1
2022-11-19,Algeria,Sweden,1707,-10,2 - 0
2023-03-23,Algeria,Niger,1709,2,2 - 1
2023-03-27,Algeria,Niger,1712,3,1 - 0
2023-06-18,Algeria,Uganda,1717,5,2 - 1
2023-06-20,Algeria,Tunisia,1714,-3,1 - 1
2023-09-07,Algeria,Tanzania,1696,-18,0 - 0
2023-09-12,Algeria,Senegal,1710,14,0 - 1
2023-10-12,Algeria,Cabo Verde,1715,5,5 - 1
2023-10-16,Algeria,Egypt,1714,-1,1 - 1
2023-11-16,Algeria,Somalia,1714,0,3 - 1
2023-11-19,Algeria,Mozambique,1726,12,0 - 2
2024-01-05,Algeria,Togo,1733,7,0 - 3
2024-01-09,Algeria,Burundi,1736,3,4 - 0
2024-01-15,Algeria,Angola,1718,-18,1 - 1
2024-01-20,Algeria,Burkina Faso,1709,-9,2 - 2
2024-01-23,Algeria,Mauritania,1665,-44,1 - 0
2024-03-22,Algeria,Bolivia,1674,9,3 - 2
2024-03-26,Algeria,South Africa,1666,-8,3 - 3
2024-06-06,Algeria,Guinea,1632,-34,1 - 2
2024-06-10,Algeria,Uganda,1644,12,1 - 2
2024-09-05,Algeria,Equatorial Guinea,1659,15,2 - 0
2024-09-10,Algeria,Liberia,1671,12,0 - 3
2024-10-10,Algeria,Togo,1678,7,5 - 1
2024-10-14,Algeria,Togo,1687,9,0 - 1
2024-11-14,Algeria,Equatorial Guinea,1684,-3,0 - 0
2024-11-17,Algeria,Liberia,1688,4,5 - 1
2025-03-21,Algeria,Botswana,1701,13,1 - 3
2025-03-25,Algeria,Mozambique,1711,10,5 - 1
2025-06-05,Algeria,Rwanda,1711,2,2 - 0
2025-06-10,Algeria,Sweden,1705,-6,4 - 3
2025-09-04,Algeria,Botswana,1709,4,3 - 1
2025-09-08,Algeria,Guinea,1696,-13,0 - 0
2025-10-09,Algeria,Somalia,1696,0,3 - 0
2025-10-14,Algeria,Uganda,1700,4,2 - 1
2025-11-13,Algeria,Zimbabwe,1703,3,3 - 1
2025-11-18,Algeria,Saudi Arabia,1718,15,0 - 2
2025-12-03,Algeria,Sudan,1703,-15,0 - 0
2025-12-06,Algeria,Bahrain,1714,11,5 - 1
2025-12-09,Algeria,Iraq,1736,22,2 - 0
2025-12-12,Algeria,United Arab Emirates,1726,-10,1 - 1
2025-12-24,Algeria,Sudan,1735,9,3 - 0
2025-12-28,Algeria,Burkina Faso,1749,14,1 - 0
2025-12-31,Algeria,Equatorial Guinea,1757,8,3 - 1
2026-01-06,Algeria,DR Congo,1775,18,1 - 0
2026-01-10,Algeria,Nigeria,1728,-47,2 - 0
2026-03-27,Algeria,Guatemala,1739,11,7 - 0
2026-03-31,Algeria,Uruguay,1743,4,0 - 0
2026-06-03,Algeria,Netherlands,1760,17,0 - 1
2026-06-10,Algeria,Bolivia,1772,12,4 - 0
2021-06-03,Andorra,Republic of Ireland,1028,-2,1 - 4
2021-06-07,Andorra,Gibraltar,1027,-1,0 - 0
2021-09-02,Andorra,San Marino,1036,9,2 - 0
2021-09-05,Andorra,England,1036,0,4 - 0
2021-09-08,Andorra,Hungary,1036,0,2 - 1
2021-10-09,Andorra,England,1036,0,0 - 5
2021-10-12,Andorra,San Marino,1059,23,0 - 3
2021-11-12,Andorra,Poland,1057,-2,1 - 4
2021-11-15,Andorra,Albania,1056,-1,1 - 0
2022-03-25,Andorra,St Kitts and Nevis,1067,11,1 - 0
2022-03-28,Andorra,Grenada,1076,9,1 - 0
2022-06-03,Andorra,Latvia,1068,-8,3 - 0
2022-06-06,Andorra,Moldova,1072,4,0 - 0
2022-06-10,Andorra,Liechtenstein,1085,13,2 - 1
2022-06-14,Andorra,Moldova,1076,-9,2 - 1
2022-09-22,Andorra,Liechtenstein,1110,34,0 - 2
2022-09-25,Andorra,Latvia,1118,8,1 - 1
2022-11-16,Andorra,Austria,1117,-1,1 - 0
2022-11-19,Andorra,Gibraltar,1108,-9,1 - 0
2023-03-25,Andorra,Romania,1103,-5,0 - 2
2023-03-28,Andorra,Kosovo,1121,18,1 - 1
2023-06-16,Andorra,Switzerland,1120,-1,1 - 2
2023-06-19,Andorra,Israel,1119,-1,2 - 1
2023-09-09,Andorra,Belarus,1129,10,0 - 0
2023-09-12,Andorra,Switzerland,1128,-1,3 - 0
2023-10-12,Andorra,Kosovo,1115,-13,0 - 3
2023-10-15,Andorra,Romania,1113,-2,4 - 0
2023-11-18,Andorra,Belarus,1108,-5,1 - 0
2023-11-21,Andorra,Israel,1102,-6,0 - 2
2024-03-21,Andorra,South Africa,1115,13,1 - 1
2024-03-25,Andorra,Bolivia,1113,-2,1 - 0
2024-06-05,Andorra,Spain,1113,0,5 - 0
2024-06-11,Andorra,Northern Ireland,1110,-3,2 - 0
2024-09-04,Andorra,Gibraltar,1101,-9,1 - 0
2024-09-10,Andorra,Malta,1083,-18,0 - 1
2024-10-10,Andorra,Moldova,1077,-6,2 - 0
2024-10-13,Andorra,San Marino,1080,3,2 - 0
2024-11-16,Andorra,Moldova,1069,-11,0 - 1
2024-11-19,Andorra,Malta,1083,14,0 - 0
2025-03-21,Andorra,Latvia,1068,-15,0 - 1
2025-03-24,Andorra,Albania,1066,-2,3 - 0
2025-06-07,Andorra,England,1066,0,1 - 0
2025-06-10,Andorra,Serbia,1066,0,3 - 0
2025-09-06,Andorra,England,1066,0,2 - 0
2025-09-09,Andorra,Estonia,1074,8,0 - 0
2025-10-11,Andorra,Latvia,1089,15,2 - 2
2025-10-14,Andorra,Serbia,1087,-2,1 - 3
2025-11-13,Andorra,Albania,1085,-2,0 - 1
2025-11-17,Andorra,Finland,1083,-2,4 - 0
2026-03-27,Andorra,Montenegro,1081,-2,2 - 0
2026-03-31,Andorra,San Marino,1077,-4,0 - 0
2026-05-29,Andorra,Iraq,1076,-1,1 - 0
2026-06-04,Andorra,Liechtenstein,1081,5,2 - 0
2026-06-07,Andorra,Kosovo,1080,-1,3 - 0
2021-09-01,Angola,Egypt,1366,-5,1 - 0
2021-09-07,Angola,Libya,1340,-26,0 - 1
2021-10-08,Angola,Gabon,1368,28,3 - 1
2021-10-11,Angola,Gabon,1348,-20,2 - 0
2021-11-12,Angola,Egypt,1358,10,2 - 2
2021-11-16,Angola,Libya,1363,5,1 - 1
2022-03-26,Angola,Guinea-Bissau,1380,17,3 - 2
2022-03-29,Angola,Equatorial Guinea,1383,3,0 - 0
2022-06-01,Angola,Central African Republic,1392,9,2 - 1
2022-06-05,Angola,Madagascar,1393,1,1 - 1
2022-07-05,Angola,Comoros,1414,21,3 - 1
2022-07-07,Angola,Seychelles,1417,3,3 - 0
2022-07-10,Angola,Botswana,1392,-25,1 - 0
2022-11-17,Angola,Botswana,1401,9,1 - 0
2022-11-20,Angola,South Africa,1407,6,1 - 1
2023-03-23,Angola,Ghana,1401,-6,1 - 0
2023-03-27,Angola,Ghana,1407,6,1 - 1
2023-06-17,Angola,Central African Republic,1423,16,2 - 1
2023-07-07,Angola,Mozambique,1419,-4,1 - 1
2023-07-10,Angola,Mauritius,1381,-38,1 - 0
2023-07-12,Angola,Lesotho,1399,18,4 - 2
2023-09-07,Angola,Madagascar,1388,-11,0 - 0
2023-09-12,Angola,Iran,1386,-2,4 - 0
2023-10-13,Angola,Mozambique,1385,-1,1 - 1
2023-10-17,Angola,DR Congo,1389,4,0 - 0
2023-11-16,Angola,Cabo Verde,1399,10,0 - 0
2023-11-21,Angola,Mauritius,1386,-13,0 - 0
2024-01-06,Angola,DR Congo,1389,3,0 - 0
2024-01-10,Angola,Bahrain,1409,20,3 - 0
2024-01-15,Angola,Algeria,1427,18,1 - 1
2024-01-20,Angola,Mauritania,1449,22,3 - 2
2024-01-23,Angola,Burkina Faso,1501,52,2 - 0
2024-01-27,Angola,Namibia,1533,32,3 - 0
2024-02-02,Angola,Nigeria,1516,-17,1 - 0
2024-03-22,Angola,Morocco,1514,-2,1 - 0
2024-03-25,Angola,Comoros,1508,-6,0 - 0
2024-06-07,Angola,Eswatini,1513,5,1 - 0
2024-06-11,Angola,Cameroon,1511,-2,1 - 1
2024-06-28,Angola,Namibia,1504,-7,0 - 0
2024-07-01,Angola,Seychelles,1505,1,3 - 2
2024-07-03,Angola,Lesotho,1516,11,3 - 1
2024-07-05,Angola,Comoros,1527,11,2 - 1
2024-07-07,Angola,Namibia,1553,26,5 - 0
2024-09-05,Angola,Ghana,1578,25,0 - 1
2024-09-09,Angola,Sudan,1584,6,2 - 1
2024-10-11,Angola,Niger,1588,4,2 - 0
2024-10-15,Angola,Niger,1593,5,1 - 0
2024-11-15,Angola,Ghana,1581,-12,1 - 1
2024-11-18,Angola,Sudan,1570,-11,0 - 0
2025-03-20,Angola,Libya,1566,-4,1 - 1
2025-03-25,Angola,Cabo Verde,1536,-30,1 - 2
2025-06-05,Angola,Namibia,1524,-10,1 - 1
2025-06-08,Angola,Lesotho,1537,13,4 - 0
2025-06-10,Angola,Malawi,1544,7,1 - 0
2025-06-13,Angola,Madagascar,1559,15,4 - 1
2025-06-15,Angola,South Africa,1605,46,0 - 3
2025-09-04,Angola,Libya,1570,-35,0 - 1
2025-09-09,Angola,Mauritius,1572,2,3 - 1
2025-10-08,Angola,Eswatini,1559,-13,2 - 2
2025-10-13,Angola,Cameroon,1566,7,0 - 0
2025-11-14,Angola,Argentina,1563,-2,0 - 2
2025-11-18,Angola,Zambia,1566,3,3 - 2
2025-12-17,Angola,Mozambique,1575,9,4 - 1
2025-12-22,Angola,South Africa,1547,-28,2 - 1
2025-12-26,Angola,Zimbabwe,1534,-13,1 - 1
2025-12-29,Angola,Egypt,1541,7,0 - 0
2026-06-05,Angola,Mauritania,1537,-6,1 - 1
2026-06-09,Angola,Central African Republic,1542,5,3 - 0
2021-06-02,Anguilla,Dominica,557,-5,3 - 0
2022-01-27,Anguilla,British Virgin Islands,568,11,2 - 1
2022-02-13,Anguilla,St Martin,586,18,1 - 2
2022-06-02,Anguilla,Dominica,602,16,0 - 0
2022-06-05,Anguilla,Dominica,619,17,1 - 1
2022-06-12,Anguilla,St Lucia,616,-3,2 - 0
2023-03-04,Anguilla,St Martin,619,3,2 - 2
2023-03-24,Anguilla,St Lucia,614,-5,1 - 2
2023-09-07,Anguilla,St Martin,585,-29,0 - 6
2023-10-12,Anguilla,Bonaire,579,-6,2 - 0
2023-10-16,Anguilla,St Martin,565,-14,8 - 0
2023-11-18,Anguilla,Bonaire,548,-17,0 - 3
2024-03-17,Anguilla,Sint Maarten,556,8,1 - 1
2024-03-22,Anguilla,Turks and Caicos Islands,559,3,0 - 0
2024-03-26,Anguilla,Turks and Caicos Islands,571,12,1 - 1
2024-06-02,Anguilla,Sint Maarten,603,32,0 - 3
2024-06-08,Anguilla,Suriname,601,-2,0 - 4
2024-06-11,Anguilla,Puerto Rico,599,-2,8 - 0
2024-09-04,Anguilla,Turks and Caicos Islands,650,45,0 - 2
2024-09-10,Anguilla,Belize,646,-4,1 - 0
2024-10-09,Anguilla,Belize,644,-2,1 - 0
2024-10-12,Anguilla,Turks and Caicos Islands,623,-21,2 - 1
2025-04-17,Anguilla,British Virgin Islands,620,-3,0 - 0
2025-04-20,Anguilla,British Virgin Islands,627,7,1 - 0
2025-05-23,Anguilla,St Martin,625,-2,2 - 1
2025-05-24,Anguilla,St Kitts and Nevis,622,-3,4 - 2
2025-05-31,Anguilla,Grenada,621,-1,2 - 0
2025-06-04,Anguilla,St Vincent,618,-2,6 - 0
2025-06-07,Anguilla,El Salvador,617,-1,0 - 3
2025-11-09,Anguilla,St Martin,636,19,1 - 2
2025-11-12,Anguilla,Bahamas,657,21,2 - 1
2025-11-15,Anguilla,Cayman Islands,646,-11,4 - 0
2026-03-26,Anguilla,Bahamas,672,27,3 - 1
2026-03-29,Anguilla,British Virgin Islands,646,-26,4 - 0
2021-06-04,Antigua and Barbuda,Grenada,1171,17,1 - 0
2021-06-08,Antigua and Barbuda,El Salvador,1165,-6,3 - 0
2022-06-02,Antigua and Barbuda,Barbados,1178,13,1 - 0
2022-06-05,Antigua and Barbuda,Guadeloupe,1201,23,1 - 0
2022-06-09,Antigua and Barbuda,Cuba,1178,-23,2 - 0
2022-06-12,Antigua and Barbuda,Cuba,1165,-13,3 - 1
2023-03-23,Antigua and Barbuda,Guadeloupe,1193,28,0 - 1
2023-03-26,Antigua and Barbuda,Barbados,1160,-33,1 - 2
2023-06-16,Antigua and Barbuda,Guadeloupe,1122,-38,5 - 0
2023-09-09,Antigua and Barbuda,Guyana,1078,-44,1 - 5
2023-09-12,Antigua and Barbuda,Puerto Rico,1044,-34,5 - 0
2023-10-14,Antigua and Barbuda,Bahamas,1068,24,1 - 4
2023-10-17,Antigua and Barbuda,Bahamas,1052,-16,2 - 2
2023-11-18,Antigua and Barbuda,Puerto Rico,1030,-22,2 - 3
2023-11-21,Antigua and Barbuda,Guyana,1012,-18,6 - 0
2024-06-05,Antigua and Barbuda,Bermuda,1014,2,1 - 1
2024-06-08,Antigua and Barbuda,Cayman Islands,988,-26,1 - 0
2024-09-07,Antigua and Barbuda,Dominica,964,-24,1 - 2
2024-09-10,Antigua and Barbuda,Bermuda,947,-17,0 - 1
2024-10-12,Antigua and Barbuda,Dominican Republic,934,-13,5 - 0
2024-10-15,Antigua and Barbuda,Dominican Republic,923,-11,5 - 0
2024-11-16,Antigua and Barbuda,Bermuda,915,-8,2 - 1
2024-11-19,Antigua and Barbuda,Dominica,919,4,0 - 0
2025-06-06,Antigua and Barbuda,Cuba,910,-8,0 - 1
2025-06-10,Antigua and Barbuda,Honduras,909,-1,2 - 0
2025-11-12,Antigua and Barbuda,Aruba,904,-4,0 - 0
2025-11-18,Antigua and Barbuda,Guyana,894,-10,1 - 4
2021-06-03,Argentina,Chile,1978,-13,1 - 1
2021-06-08,Argentina,Colombia,1981,3,2 - 2
2021-06-14,Argentina,Chile,1970,-11,1 - 1
2021-06-18,Argentina,Uruguay,1993,23,1 - 0
2021-06-21,Argentina,Paraguay,2005,12,1 - 0
2021-06-28,Argentina,Bolivia,2012,7,4 - 1
2021-07-03,Argentina,Ecuador,2032,20,3 - 0
2021-07-06,Argentina,Colombia,2023,-9,1 - 1
2021-07-10,Argentina,Brazil,2063,40,0 - 1
2021-09-02,Argentina,Venezuela,2077,14,1 - 3
2021-09-09,Argentina,Bolivia,2079,2,3 - 0
2021-10-07,Argentina,Paraguay,2069,-10,0 - 0
2021-10-10,Argentina,Uruguay,2084,15,3 - 0
2021-10-14,Argentina,Peru,2088,4,1 - 0
2021-11-12,Argentina,Uruguay,2104,16,0 - 1
2021-11-16,Argentina,Brazil,2101,-3,0 - 0
2022-01-27,Argentina,Chile,2110,9,1 - 2
2022-02-01,Argentina,Colombia,2115,5,1 - 0
2022-03-25,Argentina,Venezuela,2118,3,3 - 0
2022-03-29,Argentina,Ecuador,2108,-10,1 - 1
2022-06-01,Argentina,Italy,2138,30,3 - 0
2022-06-05,Argentina,Estonia,2139,1,5 - 0
2022-09-23,Argentina,Honduras,2140,1,3 - 0
2022-09-27,Argentina,Jamaica,2141,1,3 - 0
2022-11-16,Argentina,United Arab Emirates,2143,2,0 - 5
2022-11-22,Argentina,Saudi Arabia,2086,-57,2 - 1
2022-11-26,Argentina,Mexico,2101,15,2 - 0
2022-11-30,Argentina,Poland,2118,17,2 - 0
2022-12-03,Argentina,Australia,2125,7,2 - 1
2022-12-09,Argentina,Netherlands,2120,-5,2 - 2
2022-12-13,Argentina,Croatia,2149,29,3 - 0
2022-12-18,Argentina,France,2143,-6,3 - 3
2023-03-23,Argentina,Panama,2144,1,2 - 0
2023-03-28,Argentina,Curaçao,2144,0,7 - 0
2023-06-15,Argentina,Australia,2147,3,2 - 0
2023-06-19,Argentina,Indonesia,2147,0,0 - 2
2023-09-07,Argentina,Ecuador,2151,4,1 - 0
2023-09-12,Argentina,Bolivia,2156,5,0 - 3
2023-10-12,Argentina,Paraguay,2158,2,1 - 0
2023-10-17,Argentina,Peru,2169,11,0 - 2
2023-11-16,Argentina,Uruguay,2117,-52,0 - 2
2023-11-21,Argentina,Brazil,2138,21,0 - 1
2024-03-22,Argentina,El Salvador,2138,0,3 - 0
2024-03-26,Argentina,Costa Rica,2139,1,3 - 1
2024-06-09,Argentina,Ecuador,2143,4,1 - 0
2024-06-14,Argentina,Guatemala,2144,1,4 - 1
2024-06-20,Argentina,Canada,2150,6,2 - 0
2024-06-25,Argentina,Chile,2154,4,1 - 0
2024-06-29,Argentina,Peru,2160,6,2 - 0
2024-07-04,Argentina,Ecuador,2142,-18,1 - 1
2024-07-09,Argentina,Canada,2149,7,2 - 0
2024-07-14,Argentina,Colombia,2168,19,1 - 0
2024-09-05,Argentina,Chile,2171,3,3 - 0
2024-09-10,Argentina,Colombia,2149,-22,2 - 1
2024-10-10,Argentina,Venezuela,2136,-13,1 - 1
2024-10-15,Argentina,Bolivia,2139,3,6 - 0
2024-11-14,Argentina,Paraguay,2105,-34,2 - 1
2024-11-19,Argentina,Peru,2107,2,1 - 0
2025-03-21,Argentina,Uruguay,2124,17,0 - 1
2025-03-25,Argentina,Brazil,2140,16,4 - 1
2025-06-05,Argentina,Chile,2146,6,0 - 1
2025-06-10,Argentina,Colombia,2132,-14,1 - 1
2025-09-04,Argentina,Venezuela,2136,4,3 - 0
2025-09-09,Argentina,Ecuador,2109,-27,1 - 0
2025-10-10,Argentina,Venezuela,2111,2,1 - 0
2025-10-14,Argentina,Puerto Rico,2111,0,6 - 0
2025-11-14,Argentina,Angola,2113,2,0 - 2
2026-03-27,Argentina,Mauritania,2113,0,2 - 1
2026-03-31,Argentina,Zambia,2113,0,5 - 0
2026-06-06,Argentina,Honduras,2114,1,2 - 0
2026-06-09,Argentina,Iceland,2115,1,3 - 0
2021-06-05,Armenia,Sweden,1584,-3,3 - 1
2021-09-02,Armenia,North Macedonia,1589,5,0 - 0
2021-09-05,Armenia,Germany,1582,-7,6 - 0
2021-09-08,Armenia,Liechtenstein,1563,-19,1 - 1
2021-10-08,Armenia,Iceland,1568,5,1 - 1
2021-10-11,Armenia,Romania,1558,-10,1 - 0
2021-11-11,Armenia,North Macedonia,1507,-51,0 - 5
2021-11-14,Armenia,Germany,1499,-8,1 - 4
2022-03-24,Armenia,Montenegro,1507,8,1 - 0
2022-03-29,Armenia,Norway,1501,-6,9 - 0
2022-06-04,Armenia,Republic of Ireland,1526,25,1 - 0
2022-06-08,Armenia,Scotland,1516,-10,2 - 0
2022-06-11,Armenia,Ukraine,1507,-9,3 - 0
2022-06-14,Armenia,Scotland,1479,-28,1 - 4
2022-09-24,Armenia,Ukraine,1462,-17,0 - 5
2022-09-27,Armenia,Republic of Ireland,1456,-6,3 - 2
2022-11-16,Armenia,Kosovo,1460,4,2 - 2
2022-11-19,Armenia,Albania,1452,-8,2 - 0
2023-03-25,Armenia,Turkey,1441,-11,1 - 2
2023-03-28,Armenia,Cyprus,1436,-5,2 - 2
2023-06-16,Armenia,Wales,1490,54,2 - 4
2023-06-19,Armenia,Latvia,1498,8,2 - 1
2023-09-08,Armenia,Turkey,1513,15,1 - 1
2023-09-11,Armenia,Croatia,1509,-4,0 - 1
2023-10-12,Armenia,Latvia,1471,-38,2 - 0
2023-10-17,Armenia,North Macedonia,1463,-8,3 - 1
2023-11-18,Armenia,Wales,1471,8,1 - 1
2023-11-21,Armenia,Croatia,1470,-1,1 - 0
2024-03-22,Armenia,Kosovo,1458,-12,0 - 1
2024-03-26,Armenia,Czech Republic,1456,-2,2 - 1
2024-06-04,Armenia,Slovenia,1454,-2,2 - 1
2024-06-07,Armenia,Kazakhstan,1462,8,2 - 1
2024-09-07,Armenia,Latvia,1476,14,4 - 1
2024-09-10,Armenia,North Macedonia,1459,-17,2 - 0
2024-10-10,Armenia,Faroe Islands,1453,-6,2 - 2
2024-10-13,Armenia,North Macedonia,1425,-28,0 - 2
2024-11-14,Armenia,Faroe Islands,1392,-33,0 - 1
2024-11-17,Armenia,Latvia,1412,20,1 - 2
2025-03-20,Armenia,Georgia,1394,-18,0 - 3
2025-03-23,Armenia,Georgia,1387,-7,6 - 1
2025-06-06,Armenia,Kosovo,1382,-5,5 - 2
2025-06-09,Armenia,Montenegro,1388,6,2 - 2
2025-09-06,Armenia,Portugal,1384,-3,0 - 5
2025-09-09,Armenia,Republic of Ireland,1412,28,2 - 1
2025-10-11,Armenia,Hungary,1406,-6,2 - 0
2025-10-14,Armenia,Republic of Ireland,1400,-6,1 - 0
2025-11-13,Armenia,Hungary,1391,-9,0 - 1
2025-11-16,Armenia,Portugal,1389,-2,9 - 1
2026-03-29,Armenia,Belarus,1379,-10,1 - 2
2026-06-06,Armenia,Kazakhstan,1378,-1,1 - 1
2026-06-09,Armenia,Moldova,1373,-5,1 - 1
2021-06-02,Aruba,Cayman Islands,913,32,3 - 1
2021-06-05,Aruba,Canada,911,-2,7 - 0
2021-10-01,Aruba,Curaçao,909,-2,7 - 1
