schedule_weight,nll,rho,g,likelihood_ratio,inside_95_interval
0.0,1889.045360257553,-0.1079,1.0972,0.0,True
0.01,1889.2175826253629,-0.1079,1.0967,0.34444473561961786,True
0.02,1889.4765962643346,-0.108,1.0961,0.8624720135630923,True
0.03,1889.8223791846717,-0.108,1.0955,1.5540378542373219,True
0.04,1890.2549083547449,-0.108,1.0948,2.4190961943836555,True
0.05,1890.7741597105069,-0.1079,1.0941,3.4575989059076164,True
0.06,1891.3801081663933,-0.1078,1.0933,4.669495817680399,False
0.07,1892.072727627699,-0.1077,1.0924,6.0547347402916785,False
0.08,1892.8519910044738,-0.1076,1.0915,7.613261493841492,False
