home_advantage,level,nll,likelihood_ratio,inside_95_interval
1.0,1.0097066321792645,14527.560236257556,206.7217718727734,False
1.005,1.0093583632518315,14520.688617068834,192.97853349533034,False
1.01,1.0089953101553104,14514.087225530464,179.77575041859018,False
1.015,1.0086177332612867,14507.752102651679,167.10550466101995,False
1.02,1.008225862814066,14501.679355458997,154.9600102756558,False
1.025,1.0078199814767925,14495.865155682186,143.33161072203438,False
1.03,1.0074003088514927,14490.305738471845,132.21277630135228,False
1.035,1.0069670897607443,14484.997401146884,121.59610165143022,False
1.04,1.0065205658521816,14479.936501971722,111.47430330110728,False
1.045,1.006060964173737,14475.119458962112,101.840217281886,False
1.05,1.005588517688079,14470.54274871874,92.68679679514389,False
1.055,1.0051034138319268,14466.202905288046,84.00710993375469,False
1.06,1.0046059419806999,14462.096519049153,75.79433745596907,False
1.065,1.0040962700083536,14458.220235626852,68.04177061136579,False
1.07,1.0035746444335338,14454.570754829036,60.742809015733656,False
1.075,1.003041242502662,14451.144829608776,53.890958575215336,False
1.08,1.0024963060206404,14447.939265049743,47.4798294571483,False
1.085,1.0019400221036607,14444.950917374797,41.50313410725721,False
1.09,1.0013726188012355,14442.176692976798,35.9546853112588,False
1.095,1.0007942448630145,14439.613547471303,30.828394300267973,False
1.1,1.0002051454901586,14437.258484770318,26.118268898298993,False
1.105,0.9996055074136755,14435.10855617683,21.81841171132328,False
1.11,0.9989954816963421,14433.160859499349,17.923018356359535,False
1.115,0.9983752985846474,14431.41253818601,14.426375729683059,False
1.12,0.9977451559142505,14429.860780477797,11.32286031325566,False
1.125,0.9971051712854648,14428.502818580317,8.606936518295697,False
1.13,0.996455601489433,14427.335927853597,6.273155064856837,False
1.135,0.9957965639625067,14426.357426019636,4.316151396935311,False
1.14,0.9951282490677945,14425.564672387012,2.7306441316868586,True
1.145,0.9944508417470976,14424.955067092305,1.5114335422731529,True
1.15,0.99376453307376,14424.526050357803,0.6534000732681307,True
1.155,0.9930694403137762,14424.27510176515,0.15150288796212408,True
1.16,0.9923607169231122,14424.199739728205,0.0007788140719640069,True
1.165,0.991653600877728,14424.297519878524,0.19633911471100873,True
1.17,0.9909331907749063,14424.566036221913,0.7333718014888291,True
1.175,0.9902046758450455,14425.002918634238,1.6071366261385265,True
1.18,0.9894681541590331,14425.6058331276,2.812965612862172,True
1.185,0.9887238550770021,14426.372481027644,4.346261412949389,False
1.19,0.98797188688639,14427.30059834798,6.202496053621871,False
1.195,0.9872123931987467,14428.387955177604,8.377209712871263,False
1.2,0.986445521571788,14429.632355081048,10.866009519759245,False
1.205,0.9856714309957137,14431.031634510875,13.66456837941223,False
1.21,0.9848902493506394,14432.583662232326,16.76862382231411,False
1.215,0.9841021303437407,14434.28633875973,20.173976877122186,False
1.22,0.9833071736142865,14436.137595804452,23.876490966566053,False
1.225,0.9825055680293224,14438.135395734096,27.872090825854684,False
1.23,0.9816974101191004,14440.277731042657,32.15676144297686,False
1.235,0.9808828129981422,14442.562623831433,36.726547020527505,False
1.24,0.9800619579638759,14444.98812530038,41.57754995842333,False
1.245,0.9792349360576315,14447.552315249703,46.70592985706753,False
1.25,0.9784018834559933,14450.253301591409,52.1079025404797,False
1.255,0.9775629045203054,14453.089219870646,57.77973909895445,False
1.26,0.9767181650061342,14456.05823279652,63.717764950702986,False
1.265,0.9758677502253077,14459.158529782271,69.91835892220479,False
1.27,0.9750117691327541,14462.388326494485,76.37795234663281,False
1.275,0.9741503529649788,14465.745864411223,83.09302818010838,False
1.28,0.9732836254878504,14469.22941038882,90.06012013530199,False
1.285,0.9724116720598012,14472.837256237144,97.2758118319507,False
1.29,0.9715346431357352,14476.567718303188,104.7367359640375,False
1.295,0.9706525947925161,14480.419137062694,112.43957348305048,False
1.3,0.9697656859539315,14484.389876719775,120.38105279721276,False
1.305,0.9688739634513335,14488.47832481419,128.5579489860429,False
1.31,0.9679775990752253,14492.68289183628,136.96708303022388,False
1.315,0.9670766419204802,14497.002010849199,145.60532105606035,False
1.32,0.9661712173864611,14501.434137118464,154.46957359458975,False
1.325,0.9652614378212111,14505.977747748522,163.55679485470682,False
1.33,0.9643473707904924,14510.631341326267,172.8639820101962,False
1.335,0.9634291263118175,14515.393437571296,182.38817450025454,False
1.34,0.9625068044767984,14520.262576992794,192.12645334325134,False
1.345,0.9615804760821678,14525.23732055289,202.07594046344093,False
1.35,0.9606502636533057,14530.316249336323,212.23379803030912,False
