g,nll,likelihood_ratio,inside_95_interval
0.8,1953.9184034029083,131.14383970831568,False
0.81,1948.6859535385936,120.67893997968622,False
0.82,1943.7118250052627,110.73068291302434,False
0.83,1938.98981765842,101.28666821933894,False
0.84,1934.5139508697175,92.33493464193407,False
0.85,1930.2784532339804,83.86393937045978,False
0.86,1926.277752887071,75.86253867664118,False
0.87,1922.5064683787832,68.31996966006545,False
0.88,1918.9594000677944,61.225833038087785,False
0.89,1915.6315220022138,54.570076906926715,False
0.9,1912.5179742530163,48.342981408531614,False
0.91,1909.6140556701534,42.53514424280593,False
0.92,1906.9152170334619,37.1374669694228,False
0.93,1904.4170545726436,32.14114204778616,False
0.94,1902.115303832687,27.53764056787304,False
0.95,1900.0058338611416,23.318700624782196,False
0.96,1898.0846417009982,19.476316304495413,False
0.97,1896.3478471643593,16.002727231217705,False
0.98,1894.7916878739015,12.890408650302106,False
0.99,1893.4125145540593,10.132062010617574,False
1.0,1892.2067865569365,7.72060601637213,False
1.01,1891.1710676089626,5.649168120424292,False
1.02,1890.3020217651492,3.911076432797472,False
1.03,1889.5964095587592,2.4998520200174426,True
1.04,1889.0510843350255,1.409201572550046,True
1.05,1888.6629887583417,0.633010419182483,True
1.06,1888.4291514830056,0.16533586851028303,True
1.07,1888.3466839783148,0.00040085912860376993,True
1.08,1888.412777499379,0.13258790125701125,True
1.09,1888.6247001956194,0.5564332937378822,True
1.1,1888.979794349364,1.2666216012271434,True
1.11,1889.4754737375804,2.2579803776598055,True
1.12,1890.109221110024,3.52547512254705,True
1.13,1890.8785857777164,5.064204457931737,False
1.14,1891.781181305886,6.869395514271218,False
1.15,1892.8146833059648,8.936399514428558,False
1.16,1893.976827321494,11.260687545487144,False
1.17,1895.2654068031736,13.837846508846269,False
1.18,1896.6782711685119,16.663575239522743,False
1.19,1898.2133239418547,19.733680786208424,False
1.2,1899.8685209707796,23.044074844058287,False
1.21,1901.6418687151117,26.590770332722514,False
1.22,1903.531422605005,30.369878112509014,False
1.23,1905.535285464753,34.37760383200521,False
1.24,1907.6516059991911,38.6102449008813,False
1.25,1909.8785773396903,43.06418758187965,False
1.26,1912.2144356469646,47.73590419642824,False
1.27,1914.6574587680261,52.621950438551266,False
1.28,1917.2059649447774,57.718962792053844,False
1.29,1919.858311571886,63.023656046270844,False
1.3,1922.612894001683,68.53282090586481,False
1.31,1925.4681443939753,74.24332169044965,False
1.32,1928.4225306087505,80.15209412000013,False
1.33,1931.4745551398782,86.25614318225553,False
1.34,1934.6227540879975,92.55254107849396,False
1.35,1937.865696170873,99.03842524424499,False
1.36,1941.2019817696087,105.71099644171636,False
1.37,1944.630242009156,112.56751692081116,False
1.38,1948.1491378716696,119.60530864583825,False
1.39,1951.7573593413072,126.82175158511336,False
1.4,1955.4536245791473,134.21428206079372,False
